Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2019,01,01,26.2,1,Y
IDCJAC0010,086338,2019,01,02,22.2,1,Y
IDCJAC0010,086338,2019,01,03,29.5,1,Y
IDCJAC0010,086338,2019,01,04,42.6,1,Y
IDCJAC0010,086338,2019,01,05,21.2,1,Y
IDCJAC0010,086338,2019,01,06,22.1,1,Y
IDCJAC0010,086338,2019,01,07,23.1,1,Y
IDCJAC0010,086338,2019,01,08,24.1,1,Y
IDCJAC0010,086338,2019,01,09,20.5,1,Y
IDCJAC0010,086338,2019,01,10,21.4,1,Y
IDCJAC0010,086338,2019,01,11,30.4,1,Y
IDCJAC0010,086338,2019,01,12,24.7,1,Y
IDCJAC0010,086338,2019,01,13,30.5,1,Y
IDCJAC0010,086338,2019,01,14,32.3,1,Y
IDCJAC0010,086338,2019,01,15,30.4,1,Y
IDCJAC0010,086338,2019,01,16,26.7,1,Y
IDCJAC0010,086338,2019,01,17,32.5,1,Y
IDCJAC0010,086338,2019,01,18,28.7,1,Y
IDCJAC0010,086338,2019,01,19,23.5,1,Y
IDCJAC0010,086338,2019,01,20,22.9,1,Y
IDCJAC0010,086338,2019,01,21,25.1,1,Y
IDCJAC0010,086338,2019,01,22,26.8,1,Y
IDCJAC0010,086338,2019,01,23,23.9,1,Y
IDCJAC0010,086338,2019,01,24,40.8,1,Y
IDCJAC0010,086338,2019,01,25,42.8,1,Y
IDCJAC0010,086338,2019,01,26,26.1,1,Y
IDCJAC0010,086338,2019,01,27,27.8,1,Y
IDCJAC0010,086338,2019,01,28,34.5,1,Y
IDCJAC0010,086338,2019,01,29,36.8,1,Y
IDCJAC0010,086338,2019,01,30,38.1,1,Y
IDCJAC0010,086338,2019,01,31,21.5,1,Y
IDCJAC0010,086338,2019,02,01,24.2,1,N
IDCJAC0010,086338,2019,02,02,34.4,1,N
IDCJAC0010,086338,2019,02,03,38.2,1,N
IDCJAC0010,086338,2019,02,04,22.7,1,N
IDCJAC0010,086338,2019,02,05,26.9,1,N
IDCJAC0010,086338,2019,02,06,34.7,1,N
